university,faculty,program,year,fee_pesin_try,fee_bilincli_burslu_try,source
İstinye Üniversitesi,,Tıp (%50 İndirimli),2025,750000,750000,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Tıp (İngilizce) (%50 İndirimli),2025,750000,750000,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Diş Hekimliği (%50 İndirimli),2025,630000,535500,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Diş Hekimliği (İngilizce) (%50 İndirimli),2025,630000,535500,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Eczacılık (%50 İndirimli),2025,455000,386750,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Eczacılık (İngilizce) (%50 İndirimli),2025,455000,386750,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Bilgisayar Mühendisliği (%50 İndirimli),2025,525000,401625,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),2025,525000,446250,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Biyomedikal Mühendisliği (İngilizce) (%50 İndirimli),2025,450000,344250,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Elektrik-Elektronik Mühendisliği (İngilizce) (%50 İndirimli),2025,450000,344250,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Endüstri Mühendisliği (İngilizce) (%50 İndirimli),2025,485925,413036,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Makine Mühendisliği (İngilizce) (%50 İndirimli),2025,450000,344250,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Matematik (İngilizce) (%50 İndirimli),2025,375000,286875,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Moleküler Biyoloji ve Genetik (İngilizce) (%50 İndirimli),2025,525000,446250,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Yazılım Geliştirme (%50 İndirimli),2025,485925,413036,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Yazılım Mühendisliği (%50 İndirimli),2025,485925,371733,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Yazılım Mühendisliği (İngilizce) (%50 İndirimli),2025,485925,371733,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Dijital Oyun Tasarımı (İngilizce) (%50 İndirimli),2025,487500,372938,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Gastronomi ve Mutfak Sanatları (%50 İndirimli),2025,450000,382500,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Gastronomi ve Mutfak Sanatları (İngilizce) (%50 İndirimli),2025,450000,382500,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,İç Mimarlık ve Çevre Tasarımı (%50 İndirimli),2025,487500,414375,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Mimarlık (İngilizce) (%50 İndirimli),2025,450000,382500,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Tekstil ve Moda Tasarımı (%50 İndirimli),2025,350000,297500,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Ekonomi (İngilizce) (%50 İndirimli),2025,375000,318750,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,İşletme (İngilizce) (%50 İndirimli),2025,375000,318750,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Lojistik Yönetimi (%50 İndirimli),2025,300000,255000,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Sağlık Yönetimi (%50 İndirimli),2025,300000,255000,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Siyaset Bilimi ve Kamu Yönetimi (%50 İndirimli),2025,375000,318750,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Uluslararası İlişkiler (İngilizce) (%50 İndirimli),2025,375000,318750,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Uluslararası Ticaret ve İşletmecilik (İngilizce) (%50 İndirimli),2025,375000,318750,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Yönetim Bilişim Sistemleri (%50 İndirimli),2025,487500,414375,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Yönetim Bilişim Sistemleri (İngilizce) (%50 İndirimli),2025,487500,414375,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Görsel İletişim Tasarımı (%50 İndirimli),2025,315000,267750,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Halkla İlişkiler ve Reklamcılık (%50 İndirimli),2025,315000,267750,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,"Radyo, Televizyon ve Sinema (İngilizce) (%50 İndirimli)",2025,315000,267750,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Yeni Medya ve İletişim (İngilizce) (%50 İndirimli),2025,315000,267750,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,İngiliz Dili ve Edebiyatı (İngilizce) (%50 İndirimli),2025,375000,318750,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,İngilizce Mütercim ve Tercümanlık (%50 İndirimli),2025,375000,318750,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Psikoloji (%50 İndirimli),2025,562500,478125,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Psikoloji (İngilizce) (%50 İndirimli),2025,562500,478125,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Türk Dili ve Edebiyatı (%50 İndirimli),2025,270000,229500,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Beslenme ve Diyetetik (%50 İndirimli),2025,450000,382500,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Çocuk Gelişimi (%50 İndirimli),2025,375000,318750,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Dil ve Konuşma Terapisi (%50 İndirimli),2025,375000,318750,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Ebelik (%50 İndirimli),2025,375000,318750,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Fizyoterapi ve Rehabilitasyon (%50 İndirimli),2025,450000,382500,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Fizyoterapi ve Rehabilitasyon (İngilizce) (%50 İndirimli),2025,450000,382500,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Hemşirelik (%50 İndirimli),2025,450000,382500,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Hemşirelik (İngilizce) (%50 İndirimli),2025,450000,382500,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Ağız ve Diş Sağlığı (%50 İndirimli),2025,262500,223125,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Ameliyathane Hizmetleri (%50 İndirimli),2025,262500,223125,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Anestezi (%50 İndirimli),2025,262500,223125,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Çocuk Gelişimi (%50 İndirimli),2025,262500,223125,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Diyaliz (%50 İndirimli),2025,225000,191250,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Eczane Hizmetleri (%50 İndirimli),2025,225000,191250,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Fizyoterapi (%50 İndirimli),2025,262500,223125,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,İlk ve Acil Yardım (%50 İndirimli),2025,262500,223125,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Optisyenlik (%50 İndirimli),2025,225000,191250,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Patoloji Laboratuvar Teknikleri (%50 İndirimli),2025,262500,223125,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Radyoterapi (%50 İndirimli),2025,225000,191250,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Tıbbi Görüntüleme Teknikleri (%50 İndirimli),2025,262500,223125,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Tıbbi Laboratuvar Teknikleri (%50 İndirimli),2025,262500,223125,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Aşçılık (%50 İndirimli),2025,240000,183600,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
İstinye Üniversitesi,,Bilgisayar Destekli Tasarım ve Animasyon (%50 İndirimli),2025,262500,200813,https://aday.istinye.edu.tr/taban-puan-ve-ucretler
