university,faculty,program,year,fee_pesin_try,fee_bilincli_burslu_try,source
Atlas Üniversitesi,Öğrenim Ücretleri,Tıp Fakültesi (%50 İndirimli),2025,50,725000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Tıp Fakültesi (İngilizce) (%50 İndirimli),2025,50,725000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Diş Hekimliği Fakültesi (%50 İndirimli),2025,50,695000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Diş Hekimliği Fakültesi (İngilizce) (%50 İndirimli),2025,50,695000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Beslenme ve Diyetetik (%50 İndirimli),2025,50,400000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Dil ve Konuşma Terapisi (%50 İndirimli),2025,50,460000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Ebelik (%50 İndirimli),2025,50,460000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Ergoterapi (%50 İndirimli),2025,50,350000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Fizyoterapi ve Rehabilitasyon (%50 İndirimli),2025,50,350000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Fizyoterapi ve Rehabilitasyon (İngilizce) (%50 İndirimli),2025,50,350000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Hemşirelik (%50 İndirimli),2025,50,460000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Hemşirelik (İngilizce) (%50 İndirimli),2025,50,460000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,İngiliz Dili ve Edebiyatı (İngilizce) (%50 İndirimli),2025,50,375000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,İngilizce Mütercim Tercümanlık (İngilizce) (%50 İndirimli),2025,50,375000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,İşletme (%50 İndirimli),2025,50,350000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,İşletme (İngilizce) (%50 İndirimli),2025,50,350000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Psikoloji (%50 İndirimli),2025,50,460000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Psikoloji (İngilizce) (%50 İndirimli),2025,50,460000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,***Uluslararası Ticaret ve Finansman (İngilizce) (%50 İndirimli),2025,50,350000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Yönetim Bilişim Sistemleri (İngilizce) (%50 İndirimli),2025,50,400000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Bilgisayar Mühendisliği (%50 İndirimli),2025,50,460000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),2025,50,460000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,***Biyomedikal Mühendisliği (İngilizce) (%50 İndirimli),2025,50,350000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Elektrik-Elektronik Mühendisliği (İngilizce) (%50 İndirimli),2025,50,350000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Endüstri Mühendisliği (İngilizce) (%50 İndirimli),2025,50,350000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Moleküler Biyoloji ve Genetik (İngilizce) (%50 İndirimli),2025,50,350000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Veri Bilimi ve Analitiği (İngilizce) (%50 İndirimli),2025,50,460000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Yazılım Mühendisliği (İngilizce) (%50 İndirimli),2025,50,460000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Dijital Oyun Tasarımı (%50 İndirimli),2025,50,375000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Endüstriyel Tasarım (%50 İndirimli),2025,50,350000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,***Görsel İletişim Tasarımı (%50 İndirimli),2025,50,350000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,İç Mimarlık ve Çevre Tasarımı (%50 İndirimli),2025,50,460000,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Ağız ve Diş Sağlığı (%50 İndirimli),2025,50,272500,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Ameliyathane Hizmetleri (%50 İndirimli),2025,50,272500,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Anestezi (%50 İndirimli),2025,50,272500,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Bilgisayar Programcılığı (%50 İndirimli),2025,50,272500,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Bilişim Güvenliği Teknolojisi (%50 İndirimli),2025,50,272500,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,*** Çevre Sağlığı ve Çevresel Risk Yönetimi Teknikerliği (%50 İndirimli),2025,50,247500,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Diş Protez Teknolojisi (%50 İndirimli),2025,50,272500,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Diyaliz (%50 İndirimli),2025,50,247500,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,*** E-Ticaret ve Pazarlama (%50 İndirimli),2025,50,247500,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Fizyoterapi (%50 İndirimli),2025,50,272500,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Grafik Tasarımı (%50 İndirimli),2025,50,272500,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,İç Mekan Tasarımı (%50 İndirimli),2025,50,247500,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,İlk ve Acil Yardım (%50 İndirimli),2025,50,272500,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Lojistik (%50 İndirimli),2025,50,272500,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Optisyenlik (%50 İndirimli),2025,50,247500,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,*** Tele-Sağlık Teknikerliği (%50 İndirimli),2025,50,247500,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Tıbbi Görüntüleme Teknikleri (%50 İndirimli),2025,50,272500,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,Tıbbi Laboratuvar Teknikleri (%50 İndirimli),2025,50,272500,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,*** Tıbbi Tanıtım ve Pazarlama (%50 İndirimli),2025,50,247500,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,*** Yaşlı Bakımı (%50 İndirimli),2025,50,247500,https://tercih.atlas.edu.tr/ogrenim-ucretleri
Atlas Üniversitesi,Öğrenim Ücretleri,*** Yeşil ve Ekolojik Bina Teknikerliği (%50 İndirimli),2025,50,247500,https://tercih.atlas.edu.tr/ogrenim-ucretleri
